close_dollar,close,high_dollar,high,low_dollar,low,open_dollar,open,change_over_time,change_over_time_s,u_open,u_open_dollar,u_close,u_close_dollar,u_high,u_high_dollar,u_low,u_low_dollar,u_volume,change_percent,change_percent_s,volume,date,label,change
$392.30 ,392.3,$399.00 ,399,$389.10 ,389.1,$399.00 ,399,1.191252863,1.19%,399,$399.00 ,392.3,$392.30 ,399,$399.00 ,389.1,$389.10 ,4718883,0.0145,0.01%,4718883,12/2/13,2-Dec-13,5.59
$384.66 ,384.66,$390.95 ,390.949,$383.10 ,383.1,$390.11 ,390.11,1.148578451,1.15%,390.11,$390.11 ,384.66,$384.66 ,390.949,$390.95 ,383.1,$383.10 ,3707536,-0.0195,-0.02%,3707536,12/3/13,3-Dec-13,-7.64
$385.96 ,385.96,$389.69 ,389.69,$381.49 ,381.4914,$383.26 ,383.26,1.155839803,1.16%,383.26,$383.26 ,385.96,$385.96 ,389.69,$389.69 ,381.4914,$381.49 ,2355719,0.0034,0.00%,2355719,12/4/13,4-Dec-13,1.3
$384.49 ,384.49,$386.65 ,386.65,$381.37 ,381.371,$385.76 ,385.76,1.147628889,1.15%,385.76,$385.76 ,384.49,$384.49 ,386.65,$386.65 ,381.371,$381.37 ,1906452,-0.0038,0.00%,1906452,12/5/13,5-Dec-13,-1.47
$386.95 ,386.95,$388.35 ,388.35,$383.83 ,383.83,$388.35 ,388.35,1.161369603,1.16%,388.35,$388.35 ,386.95,$386.95 ,388.35,$388.35 ,383.83,$383.83 ,1987762,0.0064,0.01%,1987762,12/6/13,6-Dec-13,2.46
$384.89 ,384.89,$388.21 ,388.21,$382.57 ,382.57,$388.11 ,388.11,1.149863151,1.15%,388.11,$388.11 ,384.89,$384.89 ,388.21,$388.21 ,382.57,$382.57 ,2766573,-0.0053,-0.01%,2766573,12/9/13,9-Dec-13,-2.06
$387.78 ,387.78,$389.06 ,389.06,$383.02 ,383.02,$383.50 ,383.5,1.166005697,1.17%,383.5,$383.50 ,387.78,$387.78 ,389.06,$389.06 ,383.02,$383.02 ,2739875,0.0075,0.01%,2739875,12/10/13,10-Dec-13,2.89
$382.19 ,382.19,$388.98 ,388.98,$382.00 ,382,$387.34 ,387.34,1.13478188,1.13%,387.34,$387.34 ,382.19,$382.19 ,388.98,$388.98 ,382,$382.00 ,2451254,-0.0144,-0.01%,2451254,12/11/13,11-Dec-13,-5.59
$381.25 ,381.25,$385.00 ,385,$379.50 ,379.5,$381.26 ,381.26,1.129531363,1.13%,381.26,$381.26 ,381.25,$381.25 ,385,$385.00 ,379.5,$379.50 ,2123652,-0.0025,0.00%,2123652,12/12/13,12-Dec-13,-0.94
$384.24 ,384.24,$389.42 ,389.42,$383.80 ,383.8,$385.32 ,385.32,1.146232475,1.15%,385.32,$385.32 ,384.24,$384.24 ,389.42,$389.42 ,383.8,$383.80 ,3025145,0.0078,0.01%,3025145,12/13/13,13-Dec-13,2.99
$388.97 ,388.97,$391.70 ,391.7,$385.00 ,385,$385.03 ,385.03,1.172652628,1.17%,385.03,$385.03 ,388.97,$388.97 ,391.7,$391.70 ,385,$385.00 ,2258884,0.0123,0.01%,2258884,12/16/13,16-Dec-13,4.73
$387.65 ,387.65,$391.36 ,391.36,$386.50 ,386.5,$390.65 ,390.65,1.165279562,1.17%,390.65,$390.65 ,387.65,$387.65 ,391.36,$391.36 ,386.5,$386.50 ,2348377,-0.0034,0.00%,2348377,12/17/13,17-Dec-13,-1.32
$395.96 ,395.96,$396.30 ,396.3,$383.10 ,383.1,$388.88 ,388.88,1.211696364,1.21%,388.88,$388.88 ,395.96,$395.96 ,396.3,$396.30 ,383.1,$383.10 ,3493635,0.0214,0.02%,3493635,12/18/13,18-Dec-13,8.31
$395.19 ,395.19,$397.29 ,397.29,$392.60 ,392.6,$394.27 ,394.27,1.207395409,1.21%,394.27,$394.27 ,395.19,$395.19 ,397.29,$397.29 ,392.6,$392.60 ,2429598,-0.0019,0.00%,2429598,12/19/13,19-Dec-13,-0.77
